source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,neuropil,orn_synapses_in_hemisphere,pn_synapses_in_hemisphere,all_output_synapses_in_hemisphere,primary_flywire_name,comparison_name,recommended_match_group,hemibrain_type_names,hemibrain_family_names,all_names,cell_type,hemibrain_type,top_nt,top_nt_conf,known_nt,known_nt_source,comparison_LN_class
720575940641773472,7205759406417734721,v2LN39a_L,v2LN39a,L,AL_L,5,531,2175,v2LN39a,v2LN39a,v2LN39a,,,AL local neuron;ALLN;ALv2;right;v2LN39a,v2LN39a,,glutamate,0.5832123681162692,,,v2LN39a
720575940606045314,7205759406060453141,CB1013_L,CB1013,L,AL_L,11,57,731,CB1013,CB1013,CB1013,,,AL local neuron;ALLN;ALv2;CB1013;glutamate;right,CB1013,,glutamate,0.3651793821959072,,,CB1013
720575940632007983,7205759406320079831,LN60b_L,LN60b,L,AL_L,96,526,1393,LN60b,LN60b,LN60b,,,AL local neuron;ALLN;LN60b,LN60b,,gaba,0.6556733948008031,,,LN60b
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,702,2508,6410,LN60b,LN60b,LN60b,,,AL local neuron;ALLN;LN60b,LN60b,,gaba,0.6556733948008031,,,LN60b
720575940626030776,7205759406260307762,vLN28_vLN29_R,vLN28_vLN29,R,AL_R,456,314,2282,"vLN28,vLN29",vLN28,vLN28;vLN29,vLN28;vLN29,vLN28;vLN29,AL local neuron;ALLN;vLN28;vLN29,,"vLN28,vLN29",glutamate,0.5875315034053549,,,vLN28;vLN29
720575940605883569,7205759406058835692,lLN2P_b_R,lLN2P_b,R,AL_R,945,1127,6998,lLN2P_b,lLN2P_b,lLN2P,lLN2P_b,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_b;left,,lLN2P_b,gaba,0.3161370422224327,"gaba, myoinhibitory peptide","Sizemore et al., 2023",lLN2P
720575940630407388,7205759406304073882,lLN2T_b_R,lLN2T_b,R,AL_R,6646,2878,15993,lLN2T_b,lLN2T_b,lLN2T,lLN2T_b,lLN2T,AL local neuron;ALLN;lLN2T_b,,lLN2T_b,serotonin,0.3452087675311435,acetylcholine,"Shang et al., 2007",lLN2T
720575940629589292,7205759406295892922,v2LN49_R,v2LN49,R,AL_R,5,309,1534,v2LN49,v2LN49,v2LN49,v2LN49,v2LN49,AL local neuron;ALLN;ALv1;glutamate;left;v2LN49,,v2LN49,glutamate,0.4039072043871284,,,v2LN49
720575940615513086,7205759406155130862,lLN2P_c_R,lLN2P_c,R,AL_R,381,2159,7684,lLN2P_c,lLN2P_c,lLN2P,lLN2P_c,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_c;left,,lLN2P_c,gaba,0.5209322725851425,,,lLN2P
720575940623650823,7205759406236508232,lLN2P_b_R,lLN2P_b,R,AL_R,1128,1443,8442,lLN2P_b,lLN2P_b,lLN2P,lLN2P_b,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_b;left,,lLN2P_b,gaba,0.3075270757937074,"gaba, myoinhibitory peptide","Sizemore et al., 2023",lLN2P
720575940624832743,7205759406248327432,lLN2X12_R,lLN2X12,R,AL_R,790,1497,8737,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;left,lLN2X12,,acetylcholine,0.3162455339187331,,,lLN2X12
720575940634034839,7205759406340348391,lLN1_bc_L,lLN1_bc,L,AL_L,46,2051,9602,lLN1_bc,lLN1_b,lLN1,lLN1_b;lLN1_c,lLN1,AL local neuron;ALLN;ALl1_dorsal;lLN1_b;lLN1_bc;lLN1_c;right,lLN1_bc,"lLN1_b,lLN1_c",acetylcholine,0.2545248144668138,,,lLN1
720575940622920074,7205759406229200741,lLN1_bc_L,lLN1_bc,L,AL_L,150,2446,10498,lLN1_bc,lLN1_b,lLN1,lLN1_b;lLN1_c,lLN1,AL local neuron;ALLN;ALl1_dorsal;lLN1_b;lLN1_bc;lLN1_c;right,lLN1_bc,"lLN1_b,lLN1_c",dopamine,0.298814884504176,,,lLN1
720575940627690246,7205759406276902461,lLN2X03_L,lLN2X03,L,AL_L,669,2763,11812,lLN2X03,lLN2T_a,lLN2T,lLN2T_a,lLN2T,AL local neuron;ALLN;lLN2T_a;lLN2X03,lLN2X03,lLN2T_a,serotonin,0.4484668828974968,acetylcholine,"Shang et al., 2007",lLN2T
720575940636241550,7205759406362415501,lLN2P_a_L,lLN2P_a,L,AL_L,875,822,6215,lLN2P_a,lLN2P_a,lLN2P,lLN2P_a,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_a;right,,lLN2P_a,glutamate,0.3498028129284032,,,lLN2P
720575940612907121,7205759406129071211,lLN2X12_L,lLN2X12,L,AL_L,881,1301,7253,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;right,lLN2X12,,serotonin,0.2895058424133054,,,lLN2X12
720575940644255255,7205759406442552551,CB1132_L,CB1132,L,AL_L,28,399,1673,CB1132,CB1132,CB1132,,,AL local neuron;ALLN;CB1132,CB1132,,gaba,0.5575787136313713,,,CB1132
720575940623248883,7205759406232488831,CB1141_L,CB1141,L,AL_L,20,145,725,CB1141,CB1141,CB1141,,,AL local neuron;ALLN;CB1141,CB1141,,gaba,0.6109611560129976,,,CB1141
720575940606751922,7205759406067519221,lLN2X12_L,lLN2X12,L,AL_L,737,1176,6999,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;right,lLN2X12,,acetylcholine,0.4067475897228651,,,lLN2X12
720575940630945335,7205759406309453351,lLN1_bc_L,lLN1_bc,L,AL_L,66,2593,11652,lLN1_bc,lLN1_b,lLN1,lLN1_b;lLN1_c,lLN1,AL local neuron;ALLN;ALl1_dorsal;lLN1_b;lLN1_bc;lLN1_c;right,lLN1_bc,"lLN1_b,lLN1_c",serotonin,0.3215111980712848,,,lLN1
720575940634771552,7205759406347715521,vLN27_L,vLN27,L,AL_L,642,1324,4933,vLN27,vLN27,vLN27,vLN27,vLN27,AL local neuron;ALLN;vLN27,,vLN27,glutamate,0.3700466038116633,,,vLN27
720575940632795532,7205759406327955321,lLN2F_b_L,lLN2F_b,L,AL_L,8528,2693,46082,lLN2F_b,lLN2F_b,lLN2F,lLN2F_b,lLN2F,AL local neuron;ALLN;DABAF LN - previously identified but when adding new pieces;lLN2F_b;previous identifications were removed,,lLN2F_b,gaba,0.5732033580551936,,,lLN2F
720575940617586757,7205759406175867571,lLN2X12_L,lLN2X12,L,AL_L,764,1334,7691,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;right,lLN2X12,,acetylcholine,0.4285663883358714,,,lLN2X12
720575940623788040,7205759406237880401,lLN2F_a_L,lLN2F_a,L,AL_L,4730,1734,20961,lLN2F_a,lLN2F_a,lLN2F,lLN2F_a,lLN2F,AL local neuron;ALLN;lLN2F_a,,lLN2F_a,gaba,0.3304829942305237,,,lLN2F
720575940628343634,7205759406283436341,lLN2P_c_L,lLN2P_c,L,AL_L,493,2458,9163,lLN2P_c,lLN2P_c,lLN2P,lLN2P_c,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_c;right,,lLN2P_c,gaba,0.5241673868672188,,,lLN2P
720575940631526215,7205759406315262151,CB1266_L,CB1266,L,AL_L,342,69,529,CB1266,CB1266,CB1266,,,AL local neuron;ALLN;CB1266,CB1266,,acetylcholine,0.4281123195893617,,,CB1266
720575940631526215,7205759406315262152,CB1266_R,CB1266,R,AL_R,1012,633,5568,CB1266,CB1266,CB1266,,,AL local neuron;ALLN;CB1266,CB1266,,acetylcholine,0.4281123195893617,,,CB1266
720575940630183286,7205759406301832861,lLN1_bc_L,lLN1_bc,L,AL_L,68,2571,11622,lLN1_bc,lLN1_b,lLN1,lLN1_b;lLN1_c,lLN1,AL local neuron;ALLN;ALl1_dorsal;lLN1_b;lLN1_bc;lLN1_c;right,lLN1_bc,"lLN1_b,lLN1_c",dopamine,0.3047182024263759,,,lLN1
720575940618076214,7205759406180762142,CB1285_R,CB1285,R,AL_R,5,105,553,CB1285,CB1285,CB1285,,,CB1285,CB1285,,gaba,0.5804503046956879,,,CB1285
720575940632197930,7205759406321979301,lLN1_bc_L,lLN1_bc,L,AL_L,68,2164,9723,lLN1_bc,lLN1_b,lLN1,lLN1_b;lLN1_c,lLN1,AL local neuron;ALLN;ALl1_dorsal;lLN1_b;lLN1_bc;lLN1_c;right,lLN1_bc,"lLN1_b,lLN1_c",acetylcholine,0.2572549575047267,,,lLN1
720575940614757974,7205759406147579742,v2LN40_2_R,v2LN40_2,R,AL_R,381,311,1601,v2LN40_2,v2LN40_2,v2LN40_2,,,AL local neuron;ALLN;ALv2;acetylcholine;left;v2LN40_2,v2LN40_2,,acetylcholine,0.3660035921726637,,,v2LN40_2
720575940621086996,7205759406210869962,v2LN31_R,v2LN31,R,AL_R,1504,851,3514,v2LN31,v2LN31,v2LN31,v2LN31,v2LN31,AL local neuron;ALLN;ALv2;glutamate;left;v2LN31,,v2LN31,glutamate,0.4677431090440471,,,v2LN31
720575940625177836,7205759406251778361,lLN9_L,lLN9,L,AL_L,28,123,658,lLN9,lLN9,lLN9,lLN9,lLN9,AL local neuron;ALLN;lLN9,,lLN9,acetylcholine,0.410955573278443,,,lLN9
720575940625177836,7205759406251778362,lLN9_R,lLN9,R,AL_R,2,6,80,lLN9,lLN9,lLN9,lLN9,lLN9,AL local neuron;ALLN;lLN9,,lLN9,acetylcholine,0.410955573278443,,,lLN9
720575940626624275,7205759406266242751,lLN2P_c_L,lLN2P_c,L,AL_L,544,2881,9494,lLN2P_c,lLN2P_c,lLN2P,lLN2P_c,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_c;right,,lLN2P_c,gaba,0.5644188648076028,,,lLN2P
720575940617938752,7205759406179387521,CB1473_L,CB1473,L,AL_L,50,478,1679,CB1473,CB1473,CB1473,,,AL local neuron;ALLN;CB1473,CB1473,,gaba,0.4070506520199837,,,CB1473
720575940623636701,7205759406236367011,il3LN6_L,il3LN6,L,AL_L,9044,2109,19814,il3LN6,il3LN6,il3LN6,il3LN6,il3LN6,AL local neuron;ALLN;Keystone;il3LN6,,il3LN6,acetylcholine,0.3177111396127737,gaba,"Tanaka et al., 2012",il3LN6
720575940623636701,7205759406236367012,il3LN6_R,il3LN6,R,AL_R,6856,1509,14577,il3LN6,il3LN6,il3LN6,il3LN6,il3LN6,AL local neuron;ALLN;Keystone;il3LN6,,il3LN6,acetylcholine,0.3177111396127737,gaba,"Tanaka et al., 2012",il3LN6
720575940632000993,7205759406320009931,CB1546_L,CB1546,L,AL_L,45,385,1619,CB1546,CB1546,CB1546,,,AL local neuron;ALLN;CB1546,CB1546,,gaba,0.5440559969229407,,,CB1546
720575940625977802,7205759406259778022,lLN2P_a_R,lLN2P_a,R,AL_R,971,946,6748,lLN2P_a,lLN2P_a,lLN2P,lLN2P_a,lLN2P,AL local neuron;ALLN;lLN2P_a,,lLN2P_a,glutamate,0.3105884187258055,,,lLN2P
720575940625119625,7205759406251196251,CB1668_L,CB1668,L,AL_L,65,184,608,CB1668,CB1668,CB1668,,,AL local neuron;ALLN;ALv2;CB1668;glutamate;right,CB1668,,glutamate,0.4544144745070239,,,CB1668
720575940625119625,7205759406251196252,CB1668_R,CB1668,R,AL_R,40,73,409,CB1668,CB1668,CB1668,,,AL local neuron;ALLN;ALv2;CB1668;glutamate;right,CB1668,,glutamate,0.4544144745070239,,,CB1668
720575940631618920,7205759406316189201,CB1673_L,CB1673,L,AL_L,2,19,541,CB1673,CB1673,CB1673,,,AL local neuron;ALLN;ALv2;CB1673;left,CB1673,,glutamate,0.4811461535184668,,,CB1673
720575940631618920,7205759406316189202,CB1673_R,CB1673,R,AL_R,7,43,1646,CB1673,CB1673,CB1673,,,AL local neuron;ALLN;ALv2;CB1673;left,CB1673,,glutamate,0.4811461535184668,,,CB1673
720575940608362418,7205759406083624181,CB1676_L,CB1676,L,AL_L,237,290,3538,CB1676,CB1676,CB1676,,,AL local neuron;ALLN;ALv2;CB1676;acetylcholine;right,CB1676,,acetylcholine,0.3696531902702176,,,CB1676
720575940608362418,7205759406083624182,CB1676_R,CB1676,R,AL_R,14,18,477,CB1676,CB1676,CB1676,,,AL local neuron;ALLN;ALv2;CB1676;acetylcholine;right,CB1676,,acetylcholine,0.3696531902702176,,,CB1676
720575940634962936,7205759406349629362,CB1686_R,CB1686,R,AL_R,47,311,1312,CB1686,CB1686,CB1686,,,AL local neuron;ALLN;CB1686,CB1686,,gaba,0.4117477300309372,,,CB1686
720575940623901695,7205759406239016951,CB1266_L,CB1266,L,AL_L,1499,618,6168,CB1266,CB1266,CB1266,,,AL local neuron;ALLN;ALv1;CB1266;right,CB1266,,glutamate,0.3659432660124564,,,CB1266
720575940638775118,7205759406387751181,lLN8_L,lLN8,L,AL_L,394,451,1817,lLN8,lLN8,lLN8,lLN8,lLN8,AL local neuron;ALLN;lLN8,,lLN8,gaba,0.6871559505483105,,,lLN8
720575940638775118,7205759406387751182,lLN8_R,lLN8,R,AL_R,72,494,1452,lLN8,lLN8,lLN8,lLN8,lLN8,AL local neuron;ALLN;lLN8,,lLN8,gaba,0.6871559505483105,,,lLN8
720575940618304670,7205759406183046702,CB1824_R,CB1824,R,AL_R,76,149,742,CB1824,CB1824,CB1824,,,AL local neuron;ALLN;CB1824,CB1824,,gaba,0.6370500526380711,,,CB1824
720575940617205179,7205759406172051791,lLN2P_c_L,lLN2P_c,L,AL_L,557,3293,10563,lLN2P_c,lLN2P_c,lLN2P,lLN2P_c,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_c;patchy LN;right,,lLN2P_c,gaba,0.5874543160898501,,,lLN2P
720575940639892413,7205759406398924131,v2LN31_L,v2LN31,L,AL_L,1828,920,3496,v2LN31,v2LN31,v2LN31,v2LN31,v2LN31,AL local neuron;ALLN;v2LN31,,v2LN31,glutamate,0.5450378347953949,,,v2LN31
720575940630864170,7205759406308641701,CB1546_L,CB1546,L,AL_L,45,554,2097,CB1546,CB1546,CB1546,,,AL local neuron;ALLN;CB1546,CB1546,,gaba,0.5987628610223299,,,CB1546
720575940631558113,7205759406315581132,CB1545_R,CB1545,R,AL_R,2,265,1566,CB1545,CB1545,CB1545,,,AL local neuron;ALLN;ALv2;CB1545;left,CB1545,,glutamate,0.5921931386255033,,,CB1545
720575940631497078,7205759406314970781,lLN2P_a_L,lLN2P_a,L,AL_L,816,738,5981,lLN2P_a,lLN2P_a,lLN2P,lLN2P_a,lLN2P,AL local neuron;ALLN;lLN2P_a,,lLN2P_a,glutamate,0.2709635348799959,,,lLN2P
720575940627066757,7205759406270667571,v2LN5_L,v2LN5,L,AL_L,1167,922,4742,v2LN5,v2LN5,v2LN5,v2LN5,v2LN5,AL local neuron;ALLN;ALv1;right;v2LN5,,v2LN5,glutamate,0.4253004674956754,,,v2LN5
720575940627066757,7205759406270667572,v2LN5_R,v2LN5,R,AL_R,116,137,928,v2LN5,v2LN5,v2LN5,v2LN5,v2LN5,AL local neuron;ALLN;ALv1;right;v2LN5,,v2LN5,glutamate,0.4253004674956754,,,v2LN5
720575940631619921,7205759406316199211,lLN2X12_L,lLN2X12,L,AL_L,981,1481,8641,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;right,lLN2X12,,acetylcholine,0.492647776253261,,,lLN2X12
720575940616953467,7205759406169534672,CB1013_R,CB1013,R,AL_R,40,59,645,CB1013,CB1013,CB1013,,,AL local neuron;ALLN;ALv2;CB1013;glutamate;left,CB1013,,glutamate,0.4515141593006758,,,CB1013
720575940624084429,7205759406240844291,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,3,62,473,v2LN3A1_b,v2LN3A,v2LN3A,v2LN3A,v2LN3A,AL local neuron;ALLN;ALv2;left;v2LN3A;v2LN3A1_b,v2LN3A1_b,v2LN3A,glutamate,0.3162798710334452,,,v2LN3a
720575940624084429,7205759406240844292,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,233,97,1714,v2LN3A1_b,v2LN3A,v2LN3A,v2LN3A,v2LN3A,AL local neuron;ALLN;ALv2;left;v2LN3A;v2LN3A1_b,v2LN3A1_b,v2LN3A,glutamate,0.3162798710334452,,,v2LN3a
720575940626310686,7205759406263106861,CB1686_L,CB1686,L,AL_L,67,487,1612,CB1686,CB1686,CB1686,,,AL local neuron;ALLN;CB1686,CB1686,,gaba,0.4685977739198478,,,CB1686
720575940634303132,7205759406343031322,lLN2P_a_R,lLN2P_a,R,AL_R,980,913,6616,lLN2P_a,lLN2P_a,lLN2P,lLN2P_a,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_a;left,,lLN2P_a,glutamate,0.3437242851139494,,,lLN2P
720575940632505359,7205759406325053592,lLN2P_a_R,lLN2P_a,R,AL_R,1326,1296,8085,lLN2P_a,lLN2P_a,lLN2P,lLN2P_a,lLN2P,AL local neuron;ALLN;lLN2P_a,,lLN2P_a,glutamate,0.3060562227069875,,,lLN2P
720575940641609869,7205759406416098691,CB1546_L,CB1546,L,AL_L,17,344,1554,CB1546,CB1546,CB1546,,,AL local neuron;ALLN;CB1546,CB1546,,gaba,0.5890541668257242,,,CB1546
720575940622625279,7205759406226252792,v2LN41a_R,v2LN41a,R,AL_R,3,294,1472,v2LN41a,v2LN41,v2LN41,v2LN41,v2LN41,AL local neuron;ALLN;ALv2;acetylcholine;right;v2LN41;v2LN41a,v2LN41a,v2LN41,acetylcholine,0.4164426755141132,,,v2LN41
720575940660217985,7205759406602179852,lLN2P_b_R,lLN2P_b,R,AL_R,965,1255,8516,lLN2P_b,lLN2P_b,lLN2P,lLN2P_b,lLN2P,AL local neuron;ALLN;lLN2P_b,,lLN2P_b,gaba,0.3468748826222133,"gaba, myoinhibitory peptide","Sizemore et al., 2023",lLN2P
720575940609890315,7205759406098903151,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,1,28,237,v2LN3A1_b,v2LN3A,v2LN3A,v2LN3A,v2LN3A,AL local neuron;ALLN;ALv2;left;v2LN3A;v2LN3A1_b,v2LN3A1_b,v2LN3A,glutamate,0.3447920687840837,,,v2LN3a
720575940609890315,7205759406098903152,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,499,192,3205,v2LN3A1_b,v2LN3A,v2LN3A,v2LN3A,v2LN3A,AL local neuron;ALLN;ALv2;left;v2LN3A;v2LN3A1_b,v2LN3A1_b,v2LN3A,glutamate,0.3447920687840837,,,v2LN3a
720575940635664046,7205759406356640461,v2LN40_2_L,v2LN40_2,L,AL_L,424,469,1976,v2LN40_2,v2LN40_2,v2LN40_2,,,AL local neuron;ALLN;ALv2;glutamate;right;v2LN40_2,v2LN40_2,,glutamate,0.4938102884165272,,,v2LN40_2
720575940624356792,7205759406243567922,CB1824_R,CB1824,R,AL_R,64,126,533,CB1824,CB1824,CB1824,,,AL local neuron;ALLN;CB1824,CB1824,,gaba,0.6130524880440452,,,CB1824
720575940622592099,7205759406225920991,CB1668_L,CB1668,L,AL_L,18,99,395,CB1668,CB1668,CB1668,,,AL local neuron;ALLN;ALv2;CB1668;glutamate;left,CB1668,,glutamate,0.5410057066705198,,,CB1668
720575940622592099,7205759406225920992,CB1668_R,CB1668,R,AL_R,13,62,297,CB1668,CB1668,CB1668,,,AL local neuron;ALLN;ALv2;CB1668;glutamate;left,CB1668,,glutamate,0.5410057066705198,,,CB1668
720575940644362788,7205759406443627881,lLN2P_a_L,lLN2P_a,L,AL_L,1175,833,7157,lLN2P_a,lLN2P_a,lLN2P,lLN2P_a,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_a;right,,lLN2P_a,glutamate,0.3251593731233148,,,lLN2P
720575940623280311,7205759406232803111,CB1048_L,CB1048,L,AL_L,2,438,1625,CB1048,CB1048,CB1048,,,AL local neuron;ALLN;ALv2;CB1048;right,CB1048,,glutamate,0.5490415421820043,,,CB1048
720575940625630212,7205759406256302121,CB2345_L,CB2345,L,AL_L,2,117,958,CB2345,CB2345,CB2345,,,AL local neuron;ALLN;ALv2;CB2345;glutamate;right,CB2345,,glutamate,0.6029092110788632,,,CB2345
720575940631423116,7205759406314231161,lLN1_a_L,lLN1_a,L,AL_L,70,2495,10490,lLN1_a,lLN1_a,lLN1,lLN1_a,lLN1,AL local neuron;ALLN;ALl1_dorsal;lLN1_a;right,,lLN1_a,serotonin,0.4081273779123834,,,lLN1
720575940621089780,7205759406210897801,CB1546_L,CB1546,L,AL_L,21,425,1951,CB1546,CB1546,CB1546,,,AL local neuron;ALLN;CB1546,CB1546,,gaba,0.5803712771022886,,,CB1546
720575940632835688,7205759406328356881,lLN2T_d_L,lLN2T_d,L,AL_L,12,3,51,lLN2T_d,lLN2T_d,lLN2T,lLN2T_d,lLN2T,AL local neuron;ALLN;ALl1_dorsal;lLN2T_d;left,,lLN2T_d,gaba,0.5937632841164727,,,lLN2T
720575940632835688,7205759406328356882,lLN2T_d_R,lLN2T_d,R,AL_R,1591,1467,10627,lLN2T_d,lLN2T_d,lLN2T,lLN2T_d,lLN2T,AL local neuron;ALLN;ALl1_dorsal;lLN2T_d;left,,lLN2T_d,gaba,0.5937632841164727,,,lLN2T
720575940622054497,7205759406220544971,lLN2P_a_L,lLN2P_a,L,AL_L,873,995,6266,lLN2P_a,lLN2P_a,lLN2P,lLN2P_a,lLN2P,AL local neuron;ALLN;lLN2P_a,,lLN2P_a,glutamate,0.386849423438393,,,lLN2P
720575940616486230,7205759406164862302,lLN2P_c_R,lLN2P_c,R,AL_R,365,1991,7449,lLN2P_c,lLN2P_c,lLN2P,lLN2P_c,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_c;left,,lLN2P_c,gaba,0.5824616466689315,,,lLN2P
720575940628914692,7205759406289146921,LN60b_L,LN60b,L,AL_L,624,3092,7726,LN60b,LN60b,LN60b,,,AL local neuron;ALLN;LN60b,LN60b,,gaba,0.7267106471966838,,,LN60b
720575940628914692,7205759406289146922,LN60b_R,LN60b,R,AL_R,53,262,601,LN60b,LN60b,LN60b,,,AL local neuron;ALLN;LN60b,LN60b,,gaba,0.7267106471966838,,,LN60b
720575940620400116,7205759406204001161,CB2471_L,CB2471,L,AL_L,40,178,1145,CB2471,CB2471,CB2471,,,AL local neuron;ALLN;CB2471,CB2471,,acetylcholine,0.3249828852619149,,,CB2471
720575940626681146,7205759406266811461,v2LN42b_L,v2LN42b,L,AL_L,41,167,869,v2LN42b,v2LN42,v2LN42,v2LN42,v2LN42,AL local neuron;ALLN;ALv2;right;v2LN42;v2LN42b,v2LN42b,v2LN42,glutamate,0.6374906152280737,,,v2LN42
720575940615073587,7205759406150735871,lLN2X02_L,lLN2X02,L,AL_L,1368,1875,6213,lLN2X02,lLN2X02,lLN2X02,,,AL local neuron;ALLN;lLN2X02,lLN2X02,,gaba,0.4903495599679865,,,lLN2X02
720575940648633988,7205759406486339882,lLN1_bc_R,lLN1_bc,R,AL_R,46,2091,9341,lLN1_bc,lLN1_b,lLN1,lLN1_b;lLN1_c,lLN1,AL local neuron;ALLN;ALl1_dorsal;acetylcholine;lLN1_b;lLN1_bc;lLN1_c;left,lLN1_bc,"lLN1_b,lLN1_c",acetylcholine,0.2760671202056417,,,lLN1
720575940640364085,7205759406403640851,CB2504_L,CB2504,L,AL_L,55,124,848,CB2504,CB2504,CB2504,,,AL local neuron;ALLN;CB2504,CB2504,,gaba,0.5092587899866644,,,CB2504
720575940624977466,7205759406249774661,CB2527_L,CB2527,L,AL_L,25,77,1066,CB2527,CB2527,CB2527,,,AL local neuron;ALLN;ALv2;CB2527;glutamate;right,CB2527,,glutamate,0.403080998784132,,,CB2527
720575940624977466,7205759406249774662,CB2527_R,CB2527,R,AL_R,5,21,465,CB2527,CB2527,CB2527,,,AL local neuron;ALLN;ALv2;CB2527;glutamate;right,CB2527,,glutamate,0.403080998784132,,,CB2527
720575940623792648,7205759406237926482,lLN1_bc_R,lLN1_bc,R,AL_R,51,1773,8287,lLN1_bc,lLN1_b,lLN1,lLN1_b;lLN1_c,lLN1,AL local neuron;ALLN;ALl1_dorsal;lLN1_b;lLN1_bc;lLN1_c;left,lLN1_bc,"lLN1_b,lLN1_c",acetylcholine,0.2923534758134283,,,lLN1
