combined_LN_type,n_ln_body_ids_hemibrain,orn_input_total_hemibrain,pn_output_weight_total_hemibrain,mean_contra_orn_preference_weighted_hemibrain,median_contra_orn_preference_weighted_hemibrain,mean_sum_pn_output_percent_hemibrain,mean_body_convergence_score_hemibrain,type_score_rank_hemibrain,n_ln_body_ids_flywire_mapped,orn_input_total_flywire_mapped,pn_output_weight_total_flywire_mapped,mean_contra_orn_preference_weighted_flywire_mapped,median_contra_orn_preference_weighted_flywire_mapped,mean_sum_pn_output_percent_flywire_mapped,mean_body_convergence_score_flywire_mapped,type_score_rank_flywire_mapped,n_ln_body_ids_delta_flywire_mapped_minus_hemibrain,orn_input_total_delta_flywire_mapped_minus_hemibrain,pn_output_weight_total_delta_flywire_mapped_minus_hemibrain,mean_contra_orn_preference_weighted_delta_flywire_mapped_minus_hemibrain,median_contra_orn_preference_weighted_delta_flywire_mapped_minus_hemibrain,mean_sum_pn_output_percent_delta_flywire_mapped_minus_hemibrain,mean_body_convergence_score_delta_flywire_mapped_minus_hemibrain,same_preference_sign
il3LN6,2,12758.0,3850.0,0.6587221002588273,0.6587221002588273,28.711704737130283,4.980643345044764,1,4,32668.0,7942.0,0.8670458142121641,0.8670163160397683,10.762108410446913,6.571630461888963,1,2,19910.0,4092.0,0.20832371395333682,0.20829421578094098,-17.94959632668337,1.5909871168441994,True
lLN2F,4,22072.0,6791.0,0.4786078471781905,0.4892859192810403,12.45571157026539,3.557484046407107,3,8,50179.0,13533.0,0.700168737200585,0.7029945345392082,5.6460033671378875,5.202836578479577,5,4,28107.0,6742.0,0.22156089002239454,0.21370861525816792,-6.809708203127502,1.6453525320724696,True
v2LN30,1,1563.0,5169.0,0.2642354446577095,0.2642354446577095,83.22331347609082,2.259378983095663,7,2,4309.0,21787.0,0.4189008626448984,0.4189008626448984,32.12765918085675,3.8976197197367703,10,1,2746.0,16618.0,0.1546654179871889,0.1546654179871889,-51.09565429523407,1.6382407366411074,True
lLN2T,16,29471.0,26552.0,0.3480590108122789,0.3316747565516038,32.10006037889811,2.5441187068906124,5,22,50379.0,46189.0,0.4241010405274027,0.43447453404414843,15.307112510516628,3.2217476575543005,11,6,20908.0,19637.0,0.0760420297151238,0.10279977749254465,-16.79294786838148,0.6776289506636881,True
lLN2P,14,12799.0,16426.0,0.178857989333283,0.2046777576883453,50.57212897643801,1.262504593672528,11,34,26221.0,45496.0,0.32985710825378645,0.3222146521878172,17.015160477121302,2.334106589164616,13,20,13422.0,29070.0,0.15099911892050344,0.11753689449947188,-33.55696849931671,1.071601995492088,True
lLN1,16,2196.0,24663.0,0.0705167087983767,0.0520889853499728,36.72276226908608,0.676563734427331,12,33,2462.0,61232.0,0.2137732586551053,0.2884615384615384,18.409220542369354,1.6694893411134064,18,17,266.0,36569.0,0.1432565498567286,0.23637255311156558,-18.31354172671673,0.9929256066860754,True
v2LN47,3,167.0,52.0,-0.1031674208144796,-0.0153846153846153,31.606837606837605,0.1262304245046353,17,4,218.0,211.0,0.1679532322137956,0.2109064644275912,13.099759077020604,0.92800978684641,21,1,51.0,159.0,0.2711206530282752,0.2262910798122065,-18.507078529817,0.8017793623417747,False
vLN24,2,684.0,680.0,-0.096523178807947,-0.096523178807947,27.226486274578644,0.0,24,2,218.0,538.0,0.049022468631456095,0.049022468631456095,5.130792761319451,0.8477788092656233,23,0,-466.0,-142.0,0.1455456474394031,0.1455456474394031,-22.095693513259192,0.8477788092656233,False
lLN13,1,25.0,206.0,0.52,0.52,66.66666666666667,1.386506886248996,10,1,25.0,273.0,0.28,0.28,16.666666666666668,0.78583793489433,25,0,0.0,67.0,-0.24,-0.24,-50.0,-0.600668951354666,True
v2LN46,3,202.0,83.0,-0.5199058251689831,-0.431578947368421,26.359693026359697,0.0,25,7,693.0,369.0,-0.4208431832789456,-0.3737373737373737,9.509852727311339,0.1751134451987674,29,4,491.0,286.0,0.0990626418900375,0.057841573631047305,-16.84984029904836,0.1751134451987674,True
v2LN42,1,98.0,79.0,-1.0,-1.0,34.34782608695652,0.0,27,2,56.0,404.0,-1.0,-1.0,14.043276846751676,0.0,53,1,-42.0,325.0,0.0,0.0,-20.30454924020485,0.0,True
v2LN33,1,26.0,79.0,-1.0,-1.0,20.20460358056266,0.0,34,2,323.0,465.0,-0.8319845857418111,-0.8319845857418111,8.131832903509737,0.0,49,1,297.0,386.0,0.1680154142581889,0.1680154142581889,-12.072770677052924,0.0,True
lLN8,2,637.0,553.0,-0.8568321315773793,-0.8568321315773793,42.07321670939527,0.0,33,8,1421.0,4183.0,-0.7210043791827753,-0.7097198721564204,27.621178259949176,0.0,46,6,784.0,3630.0,0.13582775239460398,0.14711225942095885,-14.452038449446093,0.0,True
l2LN19,2,221.0,536.0,-0.3112870275791624,-0.3112870275791624,43.95604395604395,0.0,29,4,405.0,1778.0,-0.2965226970402394,-0.2657258064516129,14.464019335120717,0.0,43,2,184.0,1242.0,0.014764330538922954,0.045561221127549456,-29.49202462092323,0.0,True
vLN25,2,1462.0,598.0,-0.9210259306320298,-0.9210259306320298,35.85573207385144,0.0,23,4,3042.0,1549.0,-0.8778192784610177,-0.8779308786988932,10.90953043718225,0.0,55,2,1580.0,951.0,0.04320665217101205,0.04309505193313656,-24.946201636669194,0.0,True
lLN10,1,98.0,444.0,-0.6326530612244898,-0.6326530612244898,38.81118881118881,0.0,22,2,342.0,1271.0,-0.3600425517312378,-0.3600425517312378,9.720694477106582,0.0,44,1,244.0,827.0,0.27261050949325205,0.27261050949325205,-29.09049433408223,0.0,True
v2LN36,1,2738.0,2537.0,-0.647918188458729,-0.647918188458729,79.95587771824772,0.0,21,2,3190.0,5455.0,-0.5912966806266915,-0.5912966806266915,36.599881761352904,0.0,50,1,452.0,2918.0,0.056621507832037454,0.056621507832037454,-43.355995956894816,0.0,True
v2LN3a,4,1413.0,492.0,-0.7325293951236829,-0.7093012144897901,19.014913621285626,0.0,19,10,3163.0,1704.0,-0.6363555987478103,-0.6670851459324789,6.6694833269380975,0.0,51,6,1750.0,1212.0,0.09617379637587253,0.04221606855731119,-12.345430294347528,0.0,True
v2LN31,1,1285.0,434.0,-0.8038910505836576,-0.8038910505836576,48.49162011173184,0.0,35,2,3331.0,1715.0,-0.7614276543339272,-0.7614276543339272,24.46773872147891,0.0,48,1,2046.0,1281.0,0.04246339624973039,0.04246339624973039,-24.02388139025293,0.0,True
