id,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,target_id,neuropil,orn_hemibrain_type,orn_side,input_glomerulus,mPN_hemibrain_type,mPN_cell_type,mPN_side
372614,79027329728742243,720575940627000582,79027329728750941,720575940631942999,372614,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
948128,79027535887200452,720575940609924306,79027535887195999,720575940631942999,948128,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
948002,79027535887161670,720575940609924306,79027535887154024,720575940631942999,948002,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
3592909,80224285440127480,720575940631595562,80224285440122273,720575940626917393,3592909,AL_R,ORN_VC4,right,VC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
3513657,79238710704572649,720575940624524848,79238710704570402,720575940639138237,3513657,AL_L,ORN_DM5,left,DM5,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
176764667,80434635758477598,720575940628358406,80434635758489543,720575940640835672,176764667,AL_R,ORN_DM3,right,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
206587270,80153916628680221,720575940611984114,80153916628673131,720575940607198898,206587270,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
206587314,80153916628674216,720575940611984114,80153916628693051,720575940607198898,206587314,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
28613580,79168067217296922,720575940623274935,79168067217279029,720575940631942999,28613580,LAL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
177799128,80153847909281534,720575940629337470,80153847909278850,720575940607198898,177799128,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
948208,79027535887200457,720575940609924306,79027535887200437,720575940631942999,948208,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
172555308,78816223496117096,720575940638513752,78816223496115776,720575940631942999,172555308,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
14300609,78816360934811982,720575940645728132,78816292215337238,720575940631942999,14300609,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
23619503,78956823545142523,720575940608376132,78956823545144815,720575940631942999,23619503,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
118906657,79097560967015998,720575940633367377,79097560967019177,720575940631942999,118906657,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
23608401,78886523454038253,720575940636767856,78886523454017851,720575940631942999,23608401,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
23093534,78957029637158979,720575940628953210,78957029637174293,720575940631942999,23093534,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27749947,78605117263429599,720575940613664874,78605117263417996,720575940631942999,27749947,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27411613,78675554727119655,720575940638513752,78675486007637689,720575940631942999,27411613,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
28600127,79238435961447504,720575940627214891,79238435961447514,720575940631942999,28600127,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
28602400,79168067217304947,720575940645728132,79168067217293797,720575940631942999,28602400,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
23573538,78886523454007267,720575940622745834,78886523454002577,720575940631942999,23573538,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27752301,78816154776472135,720575940628677114,78816154776477435,720575940631942999,27752301,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27752436,78745786032308537,720575940608376132,78745786032302081,720575940631942999,27752436,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27755148,78886523520670490,720575940615696490,78886523520648321,720575940631942999,27755148,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
28613478,79097698473064981,720575940633367377,79097698473063826,720575940631942999,28613478,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
29254853,78957098423645276,720575940617433142,78957167143154417,720575940631942999,29254853,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27814377,79167998497383618,720575940628953210,79167998497393439,720575940631942999,27814377,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27984052,78675692166075291,720575940642599328,78675692166054652,720575940631942999,27984052,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
29601584,80435116794969100,720575940645686564,80435116794965279,720575940617109772,29601584,AL_R,ORN_DC4,right,DC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
29543874,80435116794965256,720575940645686564,80435116794965279,720575940617109772,29543874,AL_R,ORN_DC4,right,DC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
200773274,79097423527839674,720575940646221108,79097423527843359,720575940626959134,200773274,AL_L,ORN_DM3,right,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left
28148212,78957098423294948,720575940642599328,78957098423293680,720575940631942999,28148212,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
28148205,78957098423285636,720575940633367377,78957098423298816,720575940631942999,28148205,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27987308,78816429654427242,720575940633883744,78816429654418842,720575940631942999,27987308,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
29707524,79028154228123461,720575940623482355,79028154228103111,720575940640007296,29707524,AL_L,ORN_VA2,left,VA2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left
29720504,79309354326823364,720575940620979888,79309354326822326,720575940629083211,29720504,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
54312060,78464448494763424,720575940613637782,78464448494757844,720575940631942999,54312060,AL_L,ORN_DP1l,right,DP1l,"M_vPNml56,M_vPNml58",CB2004,left
29487757,80576541477630029,720575940614426799,80576541477661466,720575940626917393,29487757,AL_R,ORN_VA3,right,VA3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
29757266,79168685558075070,720575940637619509,79168685558087065,720575940629083211,29757266,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
29760186,79309423046313848,720575940622441107,79309423046311690,720575940629083211,29760186,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
29677315,79168616838679990,720575940635095321,79168616838679991,720575940629083211,29677315,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
29586518,79379448192889427,720575940630983471,79379448192894070,720575940639138237,29586518,AL_L,ORN_DM5,left,DM5,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
28273528,79097767192515687,720575940617433142,79097767192515669,720575940631942999,28273528,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
52298276,80364885489416048,720575940620574817,80364885489428411,720575940626917393,52298276,AL_R,ORN_VM5d,left,VM5d,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
136175505,78675692166338755,720575940626811023,78675692166351361,720575940631942999,136175505,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
176717397,79168341960592314,720575940621126527,79168341960598413,720575940629083211,176717397,AL_L,ORN_DM5,left,DM5,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
52291097,80013316646299174,720575940633250530,80083685390558911,720575940607198898,52291097,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
54307002,79168135936525225,720575940633367377,79168135936521330,720575940631942999,54307002,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27405821,78816292215439063,720575940619219627,78816292215434996,720575940631942999,27405821,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
54316695,78675554727235850,720575940613664874,78675554727248151,720575940631942999,54316695,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
80323224,78816360935254244,720575940617433142,78816360935236242,720575940631942999,80323224,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
136379424,78816360935223579,720575940617433142,78816360935236242,720575940631942999,136379424,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
134831287,79027261008970490,720575940631630893,79027261008971906,720575940631942999,134831287,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
177799034,80153847909262716,720575940637619509,80153847909258844,720575940607198898,177799034,AL_R,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
54306907,79238504680697201,720575940618293883,79238504680698446,720575940631942999,54306907,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
56058451,80787716429689465,720575940643240904,80787716429695108,720575940626917393,56058451,AL_R,ORN_VA3,right,VA3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
172555312,78745854751930465,720575940619219627,78745854751940267,720575940631942999,172555312,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
56134231,80224354159443866,720575940624061116,80224354159433101,720575940607198898,56134231,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
23297466,78745854685151184,720575940613664874,78745854685163543,720575940631942999,23297466,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
27138751,79168135936316977,720575940633883744,79168135936319804,720575940631942999,27138751,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
112400240,79239123021835973,720575940637619509,79239123021844842,720575940629083211,112400240,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
176684495,80364335733781547,720575940646221108,80364335733794727,720575940617109772,176684495,AL_R,ORN_DM3,right,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
176292130,79238985649592095,720575940637619509,79238985649590779,720575940629083211,176292130,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
176292155,79238985649594900,720575940637619509,79238985649590779,720575940629083211,176292155,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
71945529,79309354326778233,720575940633221657,79309354326776532,720575940629083211,71945529,AL_L,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
112397015,79309423046393289,720575940628790142,79309423046398245,720575940639138237,112397015,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
71975567,79168685558081169,720575940637619509,79168685558087065,720575940629083211,71975567,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
96795220,80083685390892177,720575940612024342,80083685390898797,720575940626917393,96795220,AL_R,ORN_VM3,right,VM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
71890899,79168273241130825,720575940615596171,79168273241150549,720575940629083211,71890899,AL_L,ORN_DM5,right,DM5,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
134823339,79167998497347006,720575940628264721,79167998497355520,720575940631942999,134823339,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
80119090,78675692166381532,720575940642599328,78675692166373464,720575940631942999,80119090,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
29720545,79309354326831995,720575940628790142,79309354326828359,720575940629083211,29720545,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
80311657,78816360935243548,720575940628953210,78816360935245013,720575940631942999,80311657,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
80323212,78816360935243548,720575940628953210,78816360935245013,720575940631942999,80323212,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
71945540,79238985582725045,720575940629721399,79238985582725031,720575940629083211,71945540,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
112196058,80435116795080491,720575940625657530,80435116795078939,720575940617109772,112196058,AL_R,ORN_DC4,left,DC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
93350242,79027123503225458,720575940649434489,79027123503219424,720575940626959134,93350242,AL_L,ORN_DM3,right,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left
111003601,80576541477630029,720575940614426799,80576541477661466,720575940626917393,111003601,AL_R,ORN_VA3,right,VA3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
96843803,79098248094508793,720575940622441107,79098248094522456,720575940629083211,96843803,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
96844307,79309354326861206,720575940617180445,79309354326873557,720575940629083211,96844307,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
96905468,80013247927135696,720575940638822515,80083616671483194,720575940628059948,96905468,AL_R,ORN_VM3,right,VM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
56122397,80364885489413541,720575940620574817,80364885489409668,720575940626917393,56122397,AL_R,ORN_VM5d,left,VM5d,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
111386818,79309285607557195,720575940622441107,79309285607561649,720575940629083211,111386818,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111380662,79168616838865779,720575940625520412,79168616838858866,720575940639138237,111380662,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111382998,79379723137901882,720575940625520412,79379723137873830,720575940629083211,111382998,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111382937,79379654351595620,720575940632792089,79379654351578720,720575940629083211,111382937,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111446131,79098523039068034,720575940625757053,79098523039082971,720575940639138237,111446131,AL_L,ORN_VA2,left,VA2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111386788,79379654351555223,720575940640262645,79379654351555171,720575940629083211,111386788,AL_L,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111386795,79379654351555223,720575940640262645,79379654351558646,720575940629083211,111386795,AL_L,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
112375096,78956823411471893,720575940631983330,78956823411478018,720575940626959134,112375096,AL_L,ORN_DM3,right,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left
111495086,80505279380903183,720575940625583204,80505279380903278,720575940617109772,111495086,AL_R,ORN_DC4,right,DC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
112402696,79309491765900313,720575940635095321,79309491765900431,720575940639138237,112402696,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111465743,79168616838877686,720575940622399172,79168616838874425,720575940629083211,111465743,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111465710,79168616838852259,720575940635323255,79168616838864991,720575940629083211,111465710,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111465714,79168616838852259,720575940635323255,79168616838864991,720575940629083211,111465714,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111465726,79168616838852259,720575940635323255,79168616838864991,720575940629083211,111465726,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111469129,79379723137859494,720575940625520412,79379723137902313,720575940629083211,111469129,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111469125,79379723137856123,720575940632792089,79379723137902313,720575940629083211,111469125,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111550844,79239054302444317,720575940627629315,79239054302427587,720575940629083211,111550844,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
112347089,79309423046432225,720575940632792089,79309423046437940,720575940639138237,112347089,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
111913869,79027260941991250,720575940633850593,79027260941989762,720575940626959134,111913869,AL_L,ORN_DM3,left,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left
112392518,79168685558221473,720575940637619509,79168685558214203,720575940634834544,112392518,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left
112293032,79168616838763658,720575940622441107,79168616838763653,720575940639138237,112293032,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
112293036,79168616838762265,720575940625520412,79168616838763653,720575940639138237,112293036,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
112296027,79309354326914823,720575940617180445,79309354326913637,720575940629083211,112296027,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
112196056,80435116795080491,720575940625657530,80435116795078939,720575940617109772,112196056,AL_R,ORN_DC4,left,DC4,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
23608388,78886523454038287,720575940636767856,78886523454011575,720575940631942999,23608388,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
136379346,78816360935223614,720575940628953210,78816360935218722,720575940631942999,136379346,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
111397291,80223529526273235,720575940618701703,80223529526307816,720575940640835672,111397291,AL_R,ORN_DM3,left,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
28290303,79097767192552524,720575940628264721,79097767192555176,720575940631942999,28290303,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
118642148,79168067150161179,720575940645824035,79168067150173071,720575940631942999,118642148,AL_L,ORN_DM1,left,DM1,"M_vPNml56,M_vPNml58",CB2004,left
118906626,79097629686499384,720575940633367377,79097629686499342,720575940631942999,118906626,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
111554366,79239054302434485,720575940629337470,79239054302434441,720575940639138237,111554366,AL_L,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
27403996,79168135936354822,720575940633883744,79168135936361474,720575940631942999,27403996,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
175931569,79239054302406235,720575940635095321,79239054302410154,720575940629083211,175931569,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
175931570,79239054302388049,720575940635095321,79239054302410154,720575940629083211,175931570,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
54306920,79238504680704964,720575940618293883,79238504680706118,720575940631942999,54306920,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
200773183,79097423527819781,720575940646221108,79097423527818371,720575940626959134,200773183,AL_L,ORN_DM3,right,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left
27138744,79168135936316977,720575940633883744,79168135936319804,720575940631942999,27138744,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
122450540,80223529592944539,720575940629842681,80223529592946027,720575940640835672,122450540,AL_R,ORN_DM3,right,DM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
177719369,80646772716108011,720575940632108205,80646772716129130,720575940607198898,177719369,AL_R,ORN_VA3,right,VA3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
56089870,80154122854201226,720575940613481256,80154122854195929,720575940626917393,56089870,AL_R,ORN_VM3,right,VM3,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right
134836451,78886523520631732,720575940626811023,78886523520634463,720575940631942999,134836451,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
134144877,78816292215395918,720575940631630893,78816292215386788,720575940631942999,134144877,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
134415729,78605117263416784,720575940645728132,78605117263415389,720575940631942999,134415729,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
134140497,79027398447946046,720575940622745834,79027398447941836,720575940631942999,134140497,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
134415657,78605117263383330,720575940645728132,78605117263401380,720575940631942999,134415657,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
134990939,78675692166027169,720575940645728132,78675692166027245,720575940631942999,134990939,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
136379418,78745992191065856,720575940627000582,78745992191060054,720575940631942999,136379418,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
134997120,78816429654388869,720575940628677114,78816429654387300,720575940631942999,134997120,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
136194090,78746060910533213,720575940613118610,78746060910540789,720575940631942999,136194090,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
136366868,78816360935221165,720575940633367377,78816360935223603,720575940631942999,136366868,AL_L,ORN_DP1m,right,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
175932491,79168685558268519,720575940645917492,79168685558267425,720575940629083211,175932491,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
230931217,79379723138063919,720575940625520412,79379723138061526,720575940629083211,230931217,AL_L,ORN_VM2,left,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
134997046,78816429654369722,720575940628677114,78816429654387291,720575940631942999,134997046,AL_L,ORN_DP1m,left,DP1m,"M_vPNml56,M_vPNml58",CB2004,left
71993708,79308942009842790,720575940609987938,79308942009839002,720575940639138237,71993708,AL_L,ORN_DM5,left,DM5,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left
206577755,80224285372884330,720575940611984114,80224285372883124,720575940607198898,206577755,AL_R,ORN_VM2,right,VM2,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right
